user_id,month,actual_future_silence,risk_score,prediction
U-642271,2025-08,0,0.289838,0
U-642271,2025-10,0,0.527061,1
U-642271,2025-11,0,0.547585,1
U-370B03,2024-03,1,0.800318,1
U-FB0757,2024-11,1,0.719132,1
U-023F66,2024-01,1,0.2356,0
U-3714C8,2025-06,1,0.751299,1
U-2BD301,2025-04,1,0.800937,1
U-BE04EE,2025-02,0,0.600008,1
U-BE04EE,2025-03,0,0.592342,1
U-BE04EE,2025-04,0,0.618253,1
U-BE04EE,2025-05,0,0.334614,0
U-BE04EE,2025-06,1,0.605965,1
U-42BDCA,2024-03,0,0.172399,0
U-42BDCA,2024-04,0,0.122298,0
U-42BDCA,2024-05,1,0.371293,0
U-50A467,2024-03,0,0.203654,0
U-50A467,2024-06,0,0.576339,1
U-50A467,2024-09,1,0.580614,1
U-50A467,2025-07,1,0.591107,1
U-D27342,2024-11,0,0.63245,1
U-D27342,2024-12,1,0.706625,1
U-D27342,2025-05,1,0.608473,1
U-0C1FCE,2024-01,1,0.719132,1
U-225722,2024-01,1,0.739394,1
U-225722,2025-07,1,0.677691,1
U-25DA2F,2025-07,1,0.613964,1
U-BDB90E,2024-07,1,0.719132,1
U-5D01C6,2025-06,1,0.719132,1
U-1B0C6C,2024-09,0,0.498423,0
U-1B0C6C,2024-10,1,0.633342,1
U-DEF373,2024-04,1,0.719132,1
U-76AB59,2025-07,1,0.719132,1
U-69519B,2024-02,0,0.23294,0
U-69519B,2024-04,0,0.428493,0
U-69519B,2024-05,0,0.149018,0
U-69519B,2024-06,0,0.200673,0
U-69519B,2024-09,0,0.210427,0
U-69519B,2024-10,1,0.165176,0
U-69519B,2025-03,1,0.471149,0
U-659B15,2024-09,0,0.800318,1
U-659B15,2024-10,0,0.726965,1
U-659B15,2024-12,1,0.650088,1
U-2B1E7A,2024-04,1,0.800318,1
U-F010DC,2024-06,1,0.719132,1
U-F010DC,2025-09,1,0.793124,1
U-846E5B,2024-08,1,0.548773,1
U-E67244,2024-08,1,0.579867,1
U-2161B9,2025-07,1,0.719132,1
U-F736B2,2024-04,1,0.751299,1
U-9CA4F7,2025-02,0,0.577826,1
U-9CA4F7,2025-03,0,0.694539,1
U-9CA4F7,2025-04,1,0.551262,1
U-EA597C,2025-09,1,0.639723,1
U-003691,2024-04,1,0.751299,1
U-BE6991,2024-04,0,0.219278,0
U-BE6991,2024-05,1,0.191493,0
U-C177C9,2024-03,1,0.606711,1
U-D299F0,2025-04,1,0.719132,1
